time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1669019964.84279180,0.00340959,0.00025248,0.00000539,6682.00000000,0.00522308,0.000000,0.000000
1669019964.87543178,0.00340700,0.00011892,0.00000177,6680.00000000,0.00180239,0.000000,0.000000
1669019964.90903163,0.00340868,0.00023453,0.00000450,6678.00000000,0.00444668,0.000000,0.000000
1669019964.94167161,0.00340795,0.00018141,0.00000282,6680.00000000,0.00295698,0.000000,0.000000
1669019964.97623158,0.00341090,0.00055177,0.00000617,6688.00000000,0.00525101,0.000000,0.000000
1669019965.00887179,0.00341314,0.00028929,0.00000364,6694.00000000,0.00480756,0.000000,0.000000
1669019965.04151177,0.00341214,0.00022729,0.00000351,6703.00000000,0.00278715,0.000000,0.000000
1669019965.07607174,0.00341093,0.00017111,0.00000216,6705.00000000,0.00265623,0.000000,0.000000
1669019965.10870576,0.00340833,0.00013453,0.00000188,6711.00000000,0.00177742,0.000000,0.000000
1669019965.14230585,0.00341057,0.00027191,0.00000444,6724.00000000,0.00481573,0.000000,0.000000
1669019965.17494583,0.00341444,0.00029519,0.00000702,6728.00000000,0.00584977,0.000000,0.000000
1669019965.20950580,0.00341337,0.00015810,0.00000254,6736.00000000,0.00274068,0.000000,0.000000
1669019965.24214578,0.00341913,0.00035003,0.00000632,6745.00000000,0.00705283,0.000000,0.000000
1669019965.27478576,0.00342193,0.00025409,0.00000538,6749.00000000,0.00519045,0.000000,0.000000
1669019965.30934572,0.00341984,0.00019220,0.00000190,6759.00000000,0.00209586,0.000000,0.000000
1669019965.34198570,0.00341738,0.00011894,0.00000192,6769.00000000,0.00185543,0.000000,0.000000
1669019965.37558579,0.00341955,0.00028004,0.00000429,6775.00000000,0.00479872,0.000000,0.000000
1669019965.40822577,0.00341907,0.00018057,0.00000349,6779.00000000,0.00311630,0.000000,0.000000
1669019965.44278574,0.00341913,0.00021204,0.00000310,6785.00000000,0.00345370,0.000000,0.000000
1669019965.47542572,0.00341720,0.00011825,0.00000259,6791.00000000,0.00218628,0.000000,0.000000
1669019965.50902581,0.00342069,0.00028146,0.00000448,6794.00000000,0.00565362,0.000000,0.000000
1669019965.54166579,0.00341843,0.00015810,0.00000204,6804.00000000,0.00197034,0.000000,0.000000
1669019965.57622576,0.00341659,0.00013517,0.00000182,6809.00000000,0.00223834,0.000000,0.000000
1669019965.60886574,0.00341616,0.00020220,0.00000366,6814.00000000,0.00313734,0.000000,0.000000
1669019965.64150572,0.00341866,0.00029429,0.00000454,6825.00000000,0.00502588,0.000000,0.000000
1669019965.67606568,0.00341837,0.00019465,0.00000347,6826.00000000,0.00323676,0.000000,0.000000
1669019965.70870590,0.00341815,0.00026957,0.00000313,6834.00000000,0.00327179,0.000000,0.000000
1669019965.74230576,0.00342080,0.00026404,0.00000476,6838.00000000,0.00513704,0.000000,0.000000
1669019965.77494574,0.00341818,0.00011723,0.00000217,6842.00000000,0.00172162,0.000000,0.000000
1669019965.80950570,0.00341633,0.00015538,0.00000186,6852.00000000,0.00222002,0.000000,0.000000
1669019965.84214568,0.00341709,0.00022412,0.00000392,6859.00000000,0.00390561,0.000000,0.000000
1669019965.87478590,0.00341739,0.00017872,0.00000360,6862.00000000,0.00361627,0.000000,0.000000
1669019965.90934587,0.00342288,0.00059125,0.00000804,6869.00000000,0.00699141,0.000000,0.000000
1669019965.94198585,0.00342710,0.00030065,0.00000651,6873.00000000,0.00618338,0.000000,0.000000
1669019965.97558570,0.00342503,0.00012242,0.00000235,6876.00000000,0.00207093,0.000000,0.000000
1669019966.00822568,0.00342486,0.00022935,0.00000283,6882.00000000,0.00331752,0.000000,0.000000
1669019966.04278588,0.00342277,0.00014297,0.00000212,6888.00000000,0.00204749,0.000000,0.000000
1669019966.07542586,0.00342025,0.00010887,0.00000174,6892.00000000,0.00176759,0.000000,0.000000
1669019966.10813737,0.00342066,0.00032829,0.00000358,6893.00000000,0.00369216,0.000000,0.000000
1669019966.14269757,0.00341958,0.00014941,0.00000276,6899.00000000,0.00270781,0.000000,0.000000
1669019966.17533755,0.00342306,0.00030592,0.00000642,6901.00000000,0.00571583,0.000000,0.000000
1669019966.20893741,0.00342034,0.00012226,0.00000190,6905.00000000,0.00163043,0.000000,0.000000
1669019966.24157739,0.00342522,0.00034728,0.00000590,6908.00000000,0.00665040,0.000000,0.000000
1669019966.27613759,0.00342198,0.00008203,0.00000169,6917.00000000,0.00127456,0.000000,0.000000
1669019966.30877757,0.00342497,0.00042412,0.00000407,6925.00000000,0.00540569,0.000000,0.000000
1669019966.34141755,0.00344269,0.00018286,0.00000314,6921.00000000,0.01520967,0.000000,0.000000
1669019966.37597752,0.00344205,0.00020332,0.00000283,6923.00000000,0.00301810,0.000000,0.000000
1669019966.40861750,0.00343908,0.00009886,0.00000205,6931.00000000,0.00145834,0.000000,0.000000
1669019966.44221759,0.00344025,0.00019314,0.00000475,6936.00000000,0.00422378,0.000000,0.000000
1669019966.47485757,0.00344076,0.00025227,0.00000375,6943.00000000,0.00378292,0.000000,0.000000
1669019966.50941753,0.00343891,0.00014965,0.00000196,6938.00000000,0.00220174,0.000000,0.000000
1669019966.54205751,0.00344058,0.00026991,0.00000395,6948.00000000,0.00455754,0.000000,0.000000
1669019966.57565737,0.00344597,0.00031800,0.00000827,6961.00000000,0.00706189,0.000000,0.000000
1669019966.60829759,0.00344462,0.00015531,0.00000240,6965.00000000,0.00253838,0.000000,0.000000
1669019966.64285755,0.00345499,0.00038141,0.00000897,6968.00000000,0.01043231,0.000000,0.000000
1669019966.67549753,0.00345395,0.00013503,0.00000273,6977.00000000,0.00275334,0.000000,0.000000
1669019966.70813751,0.00345096,0.00009939,0.00000198,6978.00000000,0.00143041,0.000000,0.000000
1669019966.74269748,0.00344960,0.00016896,0.00000202,6981.00000000,0.00253206,0.000000,0.000000
1669019966.77533746,0.00344799,0.00016058,0.00000296,6977.00000000,0.00236008,0.000000,0.000000
1669019966.80893755,0.00345077,0.00035327,0.00000427,6982.00000000,0.00533309,0.000000,0.000000
1669019966.84157753,0.00345129,0.00022291,0.00000377,6984.00000000,0.00380263,0.000000,0.000000
1669019966.87613750,0.00345479,0.00026076,0.00000588,6993.00000000,0.00584041,0.000000,0.000000
1669019966.90877748,0.00345198,0.00012570,0.00000210,6999.00000000,0.00153407,0.000000,0.000000
1669019966.94141746,0.00344966,0.00012028,0.00000181,7008.00000000,0.00186878,0.000000,0.000000
1669019966.97597742,0.00344762,0.00014081,0.00000185,7012.00000000,0.00205272,0.000000,0.000000
1669019967.00861740,0.00344815,0.00032453,0.00000413,7022.00000000,0.00381299,0.000000,0.000000
1669019967.04221749,0.00345026,0.00028244,0.00000382,7029.00000000,0.00489765,0.000000,0.000000
1669019967.07485747,0.00344819,0.00011836,0.00000274,7040.00000000,0.00202612,0.000000,0.000000
1669019967.10932779,0.00345313,0.00014722,0.00000600,7048.00000000,0.00684548,0.000000,0.000000
1669019967.14196777,0.00345224,0.00017277,0.00000269,7054.00000000,0.00283860,0.000000,0.000000
1669019967.17556787,0.00344969,0.00011629,0.00000184,7059.00000000,0.00169415,0.000000,0.000000
1669019967.20820785,0.00344711,0.00012137,0.00000201,7067.00000000,0.00166766,0.000000,0.000000
1669019967.24276781,0.00344922,0.00025487,0.00000357,7067.00000000,0.00490831,0.000000,0.000000
1669019967.27540779,0.00344870,0.00017999,0.00000384,7076.00000000,0.00309061,0.000000,0.000000
